0.000000000000000000e+00 -6.699915926883710426e+01
3.051757812500000000e+01 -6.838680631920205144e+01
6.103515625000000000e+01 -7.718932943942172642e+01
9.155273437500000000e+01 -7.638526285900648816e+01
1.220703125000000000e+02 -7.398881181827360365e+01
1.525878906250000000e+02 -7.125840570372008642e+01
1.831054687500000000e+02 -5.539181972394763420e+01
2.136230468750000000e+02 -5.044621198909261039e+01
2.441406250000000000e+02 -5.590062002836975807e+01
2.746582031250000000e+02 -7.185376327313187517e+01
3.051757812500000000e+02 -7.657411383618236300e+01
3.356933593750000000e+02 -7.942682902427503677e+01
3.662109375000000000e+02 -8.031047937876662957e+01
3.967285156250000000e+02 -7.046604464735659690e+01
4.272460937500000000e+02 -6.290235061031965813e+01
4.577636718750000000e+02 -6.278255673451307928e+01
4.882812500000000000e+02 -7.340424029819531881e+01
5.187988281250000000e+02 -8.343747116601485914e+01
5.493164062500000000e+02 -8.425475944433358677e+01
5.798339843750000000e+02 -8.346664765452544543e+01
6.103515625000000000e+02 -7.741298075385653021e+01
6.408691406250000000e+02 -7.039843824160685415e+01
6.713867187500000000e+02 -6.543539500403988995e+01
7.019042968750000000e+02 -6.801597266311121359e+01
7.324218750000000000e+02 -8.046575393591054137e+01
7.629394531250000000e+02 -8.764360029670669405e+01
7.934570312500000000e+02 -9.141425784737428728e+01
8.239746093750000000e+02 -8.677926567670562008e+01
8.544921875000000000e+02 -8.038464285031707846e+01
8.850097656250000000e+02 -8.232988462517292305e+01
9.155273437500000000e+02 -8.967728421761600544e+01
9.460449218750000000e+02 -9.539765418281604070e+01
9.765625000000000000e+02 -9.901737783305475205e+01
1.007080078125000000e+03 -9.976448407791897921e+01
1.037597656250000000e+03 -9.566653980705105198e+01
1.068115234375000000e+03 -8.957671249364463506e+01
1.098632812500000000e+03 -8.997998574517792747e+01
1.129150390625000000e+03 -9.379309559827483156e+01
1.159667968750000000e+03 -9.740860391423778708e+01
1.190185546875000000e+03 -9.011908254705325305e+01
1.220703125000000000e+03 -9.035727481632261515e+01
1.251220703125000000e+03 -9.508960330394702964e+01
1.281738281250000000e+03 -9.545843411193253303e+01
1.312255859375000000e+03 -9.356114201057410185e+01
1.342773437500000000e+03 -9.355063197667981001e+01
1.373291015625000000e+03 -9.792654140388172834e+01
1.403808593750000000e+03 -1.005706849067103121e+02
1.434326171875000000e+03 -1.012784279096243836e+02
1.464843750000000000e+03 -9.898096202508448016e+01
1.495361328125000000e+03 -9.745456307954582087e+01
1.525878906250000000e+03 -9.590045505007638837e+01
1.556396484375000000e+03 -9.766101166356028784e+01
1.586914062500000000e+03 -1.002312359443389198e+02
1.617431640625000000e+03 -1.000501447051406103e+02
1.647949218750000000e+03 -1.009925140283255161e+02
1.678466796875000000e+03 -1.014775645834155853e+02
1.708984375000000000e+03 -1.006996978387530959e+02
1.739501953125000000e+03 -1.001313969219262674e+02
1.770019531250000000e+03 -9.950239495790006572e+01
1.800537109375000000e+03 -9.829297045668346300e+01
1.831054687500000000e+03 -9.872312683531842481e+01
1.861572265625000000e+03 -1.006578290786238341e+02
1.892089843750000000e+03 -1.023111076912125981e+02
1.922607421875000000e+03 -1.045185503974838070e+02
1.953125000000000000e+03 -1.047765947619123352e+02
1.983642578125000000e+03 -1.057896898236789980e+02
2.014160156250000000e+03 -1.064751069722182422e+02
2.044677734375000000e+03 -1.065719670899436551e+02
2.075195312500000000e+03 -1.070896833460245290e+02
2.105712890625000000e+03 -1.079391293456864531e+02
2.136230468750000000e+03 -1.076736608713041221e+02
2.166748046875000000e+03 -1.074273275559569782e+02
2.197265625000000000e+03 -1.086365094941934331e+02
2.227783203125000000e+03 -1.092727394277537059e+02
2.258300781250000000e+03 -1.099788094228028399e+02
2.288818359375000000e+03 -1.106443842826211039e+02
2.319335937500000000e+03 -1.103250750342789530e+02
2.349853515625000000e+03 -1.090129163116588842e+02
2.380371093750000000e+03 -1.079598924073270751e+02
2.410888671875000000e+03 -1.072162255248605476e+02
2.441406250000000000e+03 -1.068469897367510271e+02
2.471923828125000000e+03 -1.063917951660559282e+02
2.502441406250000000e+03 -1.063552443259172549e+02
2.532958984375000000e+03 -1.069019410841199971e+02
2.563476562500000000e+03 -1.073207544427154545e+02
2.593994140625000000e+03 -1.093119059862289646e+02
